Compound,SMILE,FP-2 IC50 (uM),FP-2 pIC50 (uM)
86,OC1=C2Sc3cc(F)ccc3N=C2CC(C1)c1ccc(Cl)cc1Cl,10.0,5.0
87,OC1=C2Sc3cc(F)ccc3N=C2CC(C1)c1ccc(Cl)cc1,5.0,5.301029995663981
88,COc1ccc(cc1OC)C1CC(O)=C2Sc3cc(F)ccc3N=C2C1,20.0,4.698970004336019
89,CC1(C)CC(O)=C2C(C1)=Nc1ccc(Cl)cc1S2(=O)=O,5.0,5.301029995663981
90,OC1=C2C(CC(C1)c1ccccc1)=Nc1ccc(Cl)cc1S2(=O)=O,4.0,5.3979400086720375
91,COc1ccc(cc1)C1CC(O)=C2C(C1)=Nc1ccc(Cl)cc1S2(=O)=O,30.0,4.522878745280337
92,COc1cccc(C2CC(O)=C3C(C2)=Nc2ccc(Cl)cc2S3(=O)=O)c1OC,4.0,5.3979400086720375
93,COc1ccc(cc1OC)C1CC(O)=C2C(C1)=Nc1ccc(Cl)cc1S2(=O)=O,50.0,4.301029995663981
94,OC1=C2C(CC(C1)c1ccc(Cl)cc1)=Nc1ccc(Cl)cc1S2(=O)=O,4.0,5.3979400086720375
95,OC1=C2C(CC(C1)c1ccc(Cl)cc1Cl)=Nc1ccc(Cl)cc1S2(=O)=O,30.0,4.522878745280337
96,COc1cccc(c1)C1CC(=O)C2=C(C1)Nc1ccc(F)cc1S2(=O)=O,5.0,5.301029995663981
97,COc1ccc(cc1OC)C1CC(O)=C2C(C1)=Nc1ccc(F)cc1S2(=O)=O,5.0,5.301029995663981
98,OC1=C2C(CC(C1)c1ccc(Cl)cc1)=Nc1ccc(F)cc1S2(=O)=O,5.0,5.301029995663981
99,CC1(C)CC(O)=C2C(C1)=Nc1ccc(F)cc1S2(=O)=O,5.0,5.301029995663981
100,OC1OC(=O)C[C@@H]1NC(=O)CN1c2ccccc2C(=N[C@H](COC(=O)Nc2ccccc2)C1=O)c1ccccc1,21.54,4.666754301038037
101,OC1OC(=O)C[C@@H]1NC(=O)CN1c2ccccc2C(=N[C@H](COC(=O)Nc2cccc3ccccc23)C1=O)c1ccccc1,11.19,4.95116991347165
102,COc1ccc(NC(=O)OC[C@H]2N=C(c3ccccc3)c3ccccc3N(CC(=O)N[C@H]3CC(=O)OC3O)C2=O)cc1,8.79,5.056011124926228
103,OC1OC(=O)C[C@@H]1NC(=O)CN1c2ccccc2C(=N[C@H](COC(=O)Nc2ccc(Cl)cc2)C1=O)c1ccccc1,15.04,4.822752163744377
104,OC1OC(=O)C[C@@H]1NC(=O)CN1c2ccccc2C(=N[C@H](COC(=O)Nc2ccc(F)cc2)C1=O)c1ccccc1,16.34,4.786747947803604
105,OC1OC(=O)C[C@@H]1NC(=O)CN1c2ccccc2C(=N[C@H](COC(=O)Nc2ccc(F)cc2F)C1=O)c1ccccc1,13.51,4.869344650977969
106,OC1OC(=O)C[C@@H]1NC(=O)CN1c2ccccc2C(=N[C@H](COC(=O)Nc2c(F)cc(F)cc2Br)C1=O)c1ccccc1,19.15,4.717831221695358
107,Cc1cc(Cl)ccc1NC(=O)OC[C@H]1N=C(c2ccccc2)c2ccccc2N(CC(=O)N[C@H]2CC(=O)OC2O)C1=O,8.25,5.0835460514500745
108,OC1OC(=O)C[C@@H]1NC(=O)CN1c2ccccc2C(=N[C@@H](COC(=O)Nc2ccc(Cl)cc2C(F)(F)F)C1=O)c1ccccc1,8.68,5.061480274823508
110,CC(C)C(NC(=O)OCc1ccccc1)C(=O)NC(Cc1ccccc1)C=O,5.0,5.301029995663981
111,C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](Oc3ccc(\C=N\Nc4cc(C)nc5c(Br)cccc45)cc3)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,0.84,6.075720713938118
112,C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](Oc3ccc(\C=N\Nc4cc(C)nc5c(C)cccc45)cc3)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,2.28,5.642065152999546
113,C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](Oc3ccc(\C=N\Nc4cc(C)nc5c(C)c(Cl)ccc45)cc3)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,0.21,6.6777807052660805
114,C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](Oc3ccc(\C=N\Nc4cc(C)nc5ccc(Cl)cc45)cc3)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,0.15,6.823908740944319
115,C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](Oc3ccc(\C=N\Nc4cc(C)nc5c(C)ccc(Cl)c45)cc3)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,0.39,6.4089353929735005
116,CCc1cccc2c(N\N=C\c3ccc(O[C@H]4O[C@@H]5O[C@@]6(C)CC[C@H]7[C@H](C)CC[C@@H]([C@H]4C)[C@@]57OO6)cc3)cc(C)nc12,0.52,6.2839966563652006
117,C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](Oc3ccc(\C=N\Nc4cc(C)nc5c(F)cccc45)cc3)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,0.28,6.552841968657781
